Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Region,State,Category,Sub-Category,Sales,Quantity,Discount,Profit
CA-2021-100068,2021-03-23,2021-03-25,First Class,CU-0575,Consumer,South,Oklahoma,Office Supplies,Supplies,60.56,1,0.2,18.27
CA-2023-100069,2023-08-11,2023-08-13,First Class,CU-0161,Corporate,East,Virginia,Office Supplies,Binders,153.44,2,0.0,98.8
CA-2020-100070,2020-11-11,2020-11-14,Second Class,CU-0561,Consumer,West,Arizona,Technology,Accessories,165.68,2,0.0,61.39
CA-2022-100071,2022-09-13,2022-09-18,Standard Class,CU-0769,Home Office,East,New Jersey,Furniture,Bookcases,473.98,1,0.2,29.7
CA-2021-100072,2021-10-18,2021-10-23,Standard Class,CU-0458,Consumer,East,Pennsylvania,Technology,Phones,713.83,4,0.4,43.47
CA-2022-100073,2022-09-01,2022-09-06,Standard Class,CU-0054,Home Office,West,Washington,Office Supplies,Supplies,22.18,1,0.15,10.35
CA-2020-100074,2020-11-03,2020-11-05,First Class,CU-0735,Consumer,East,New Jersey,Office Supplies,Storage,1462.75,6,0.4,230.64
CA-2022-100075,2022-12-07,2022-12-10,Second Class,CU-0523,Consumer,Central,Wisconsin,Furniture,Tables,2100.21,3,0.3,-768.65
CA-2021-100076,2021-11-03,2021-11-08,Standard Class,CU-0280,Consumer,West,Arizona,Technology,Accessories,134.22,1,0.4,2.81
CA-2020-100077,2020-11-24,2020-11-24,Same Day,CU-0278,Consumer,East,New Jersey,Furniture,Chairs,2708.82,3,0.0,1112.66
CA-2022-100078,2022-07-26,2022-07-31,Standard Class,CU-0153,Corporate,West,Utah,Technology,Phones,406.18,2,0.0,164.82
CA-2021-100079,2021-11-23,2021-11-28,Standard Class,CU-0401,Home Office,West,Oregon,Technology,Phones,717.43,2,0.1,241.17
CA-2021-100080,2021-06-26,2021-07-01,Standard Class,CU-0676,Corporate,East,Ohio,Furniture,Tables,943.5,1,0.2,-128.91
CA-2020-100081,2020-10-08,2020-10-13,Standard Class,CU-0491,Home Office,East,Georgia,Furniture,Tables,400.92,1,0.0,20.54
CA-2020-100082,2020-07-13,2020-07-18,Standard Class,CU-0131,Consumer,Central,Illinois,Furniture,Bookcases,1129.92,3,0.1,215.75
CA-2021-100083,2021-11-12,2021-11-12,Same Day,CU-0012,Consumer,West,Colorado,Furniture,Furnishings,614.3,3,0.15,185.14
CA-2021-100084,2021-12-19,2021-12-22,Second Class,CU-0538,Corporate,Central,Minnesota,Office Supplies,Storage,272.18,2,0.0,93.15
CA-2022-100085,2022-01-16,2022-01-18,First Class,CU-0477,Consumer,West,Arizona,Office Supplies,Fasteners,15.16,1,0.0,8.01
CA-2021-100086,2021-10-20,2021-10-22,First Class,CU-0183,Corporate,West,Washington,Office Supplies,Storage,126.55,1,0.0,49.95
CA-2022-100087,2022-02-15,2022-02-17,First Class,CU-0141,Consumer,East,Ohio,Office Supplies,Art,27.32,4,0.0,12.09
CA-2021-100088,2021-12-03,2021-12-08,Standard Class,CU-0359,Corporate,West,Arizona,Office Supplies,Fasteners,21.28,2,0.0,11.33
CA-2023-100089,2023-10-17,2023-10-22,Standard Class,CU-0344,Home Office,East,Ohio,Technology,Accessories,15.32,1,0.5,-0.82
CA-2023-100090,2023-04-26,2023-04-29,Second Class,CU-0772,Consumer,West,Colorado,Technology,Copiers,8008.98,5,0.5,-2825.08
CA-2022-100091,2022-06-22,2022-06-25,Second Class,CU-0047,Consumer,East,Pennsylvania,Office Supplies,Supplies,68.13,3,0.0,36.76
CA-2022-100092,2022-11-03,2022-11-08,Standard Class,CU-0089,Consumer,East,Virginia,Technology,Copiers,17940.64,4,0.1,4865.92
CA-2020-100093,2020-12-05,2020-12-10,Standard Class,CU-0261,Consumer,South,Alabama,Office Supplies,Binders,917.86,4,0.2,380.98
CA-2022-100094,2022-02-24,2022-03-01,Standard Class,CU-0114,Corporate,West,Oregon,Office Supplies,Labels,27.02,1,0.3,7.39
CA-2023-100095,2023-11-19,2023-11-21,First Class,CU-0571,Corporate,East,Pennsylvania,Technology,Accessories,1123.35,3,0.15,326.29
CA-2023-100096,2023-10-11,2023-10-16,Standard Class,CU-0426,Corporate,South,Louisiana,Technology,Machines,14410.33,6,0.1,2590.13
CA-2021-100097,2021-11-21,2021-11-24,Second Class,CU-0017,Corporate,West,Colorado,Technology,Phones,33.48,1,0.15,7.21
CA-2023-100098,2023-04-24,2023-04-26,First Class,CU-0196,Corporate,West,Oregon,Office Supplies,Art,36.77,2,0.4,11.13
CA-2023-100099,2023-10-18,2023-10-20,First Class,CU-0687,Consumer,West,Colorado,Office Supplies,Appliances,33.46,1,0.3,1.04
CA-2020-100100,2020-07-27,2020-08-01,Standard Class,CU-0430,Consumer,Central,Minnesota,Technology,Machines,3998.91,3,0.15,892.64
CA-2021-100101,2021-12-17,2021-12-22,Standard Class,CU-0707,Corporate,South,Oklahoma,Technology,Phones,3794.16,3,0.0,1812.37
CA-2020-100102,2020-12-24,2020-12-29,Standard Class,CU-0527,Home Office,South,Kentucky,Technology,Machines,6774.6,7,0.0,1755.04
CA-2021-100103,2021-04-17,2021-04-20,Second Class,CU-0199,Consumer,East,Georgia,Office Supplies,Supplies,210.05,3,0.2,51.97
CA-2022-100104,2022-11-12,2022-11-17,Standard Class,CU-0726,Consumer,South,Alabama,Office Supplies,Paper,71.31,3,0.0,41.92
CA-2021-100105,2021-05-02,2021-05-05,Second Class,CU-0102,Consumer,West,Arizona,Office Supplies,Art,82.0,2,0.0,38.94
CA-2020-100106,2020-01-22,2020-01-25,Second Class,CU-0242,Home Office,West,Colorado,Furniture,Tables,775.3,1,0.0,4.69
CA-2023-100107,2023-02-01,2023-02-06,Standard Class,CU-0106,Home Office,East,New York,Office Supplies,Paper,41.82,2,0.15,16.82
CA-2022-100108,2022-10-08,2022-10-11,Second Class,CU-0318,Corporate,Central,Missouri,Office Supplies,Supplies,246.02,4,0.15,74.0
CA-2022-100109,2022-11-07,2022-11-10,Second Class,CU-0012,Corporate,East,Ohio,Office Supplies,Binders,15.1,1,0.0,7.84
CA-2022-100110,2022-09-25,2022-09-27,First Class,CU-0723,Consumer,West,Utah,Technology,Accessories,1071.76,3,0.1,416.83
CA-2021-100111,2021-05-24,2021-05-24,Same Day,CU-0159,Consumer,Central,Illinois,Office Supplies,Labels,3.72,1,0.1,1.7
CA-2021-100112,2021-10-20,2021-10-23,Second Class,CU-0740,Home Office,Central,Missouri,Furniture,Bookcases,1002.96,2,0.0,283.6
CA-2021-100113,2021-09-04,2021-09-09,Standard Class,CU-0520,Consumer,West,Oregon,Office Supplies,Binders,300.83,2,0.2,160.31
CA-2023-100114,2023-12-23,2023-12-26,Second Class,CU-0231,Consumer,East,Pennsylvania,Technology,Accessories,224.21,1,0.0,99.39
CA-2020-100115,2020-09-07,2020-09-12,Standard Class,CU-0303,Consumer,East,New York,Technology,Accessories,508.02,3,0.0,190.73
CA-2022-100116,2022-04-03,2022-04-08,Standard Class,CU-0284,Consumer,East,North Carolina,Technology,Accessories,276.26,2,0.4,48.13
CA-2020-100117,2020-09-15,2020-09-18,Second Class,CU-0511,Corporate,East,New York,Office Supplies,Labels,10.62,1,0.0,6.81
CA-2020-100118,2020-12-01,2020-12-06,Standard Class,CU-0126,Consumer,East,North Carolina,Furniture,Furnishings,9.99,1,0.5,-3.47
CA-2021-100119,2021-05-25,2021-05-30,Standard Class,CU-0375,Consumer,West,Oregon,Office Supplies,Envelopes,10.66,1,0.0,5.01
CA-2023-100120,2023-12-01,2023-12-04,Second Class,CU-0145,Home Office,West,Nevada,Furniture,Chairs,4865.28,6,0.0,2174.04
CA-2021-100121,2021-11-08,2021-11-11,Second Class,CU-0220,Corporate,West,California,Office Supplies,Binders,960.3,4,0.15,447.51
CA-2021-100122,2021-12-06,2021-12-11,Standard Class,CU-0644,Home Office,South,Florida,Technology,Accessories,128.74,1,0.15,39.72
CA-2021-100123,2021-07-02,2021-07-05,Second Class,CU-0143,Home Office,Central,Michigan,Office Supplies,Labels,22.97,1,0.15,10.88
CA-2020-100124,2020-06-25,2020-06-30,Standard Class,CU-0085,Consumer,East,Virginia,Furniture,Furnishings,80.69,2,0.2,21.17
CA-2021-100125,2021-12-02,2021-12-07,Standard Class,CU-0326,Consumer,West,Washington,Furniture,Tables,1550.81,2,0.15,-257.65
CA-2021-100126,2021-10-27,2021-11-01,Standard Class,CU-0787,Consumer,Central,Michigan,Office Supplies,Supplies,67.2,1,0.0,31.16
CA-2021-100127,2021-03-04,2021-03-09,Standard Class,CU-0644,Home Office,West,Oregon,Office Supplies,Storage,282.17,2,0.15,106.54
CA-2021-100128,2021-03-11,2021-03-16,Standard Class,CU-0775,Corporate,South,Oklahoma,Technology,Phones,837.42,1,0.3,152.93
CA-2021-100129,2021-08-24,2021-08-29,Standard Class,CU-0633,Corporate,West,Arizona,Technology,Copiers,8085.85,3,0.15,2571.19
CA-2020-100130,2020-12-24,2020-12-29,Standard Class,CU-0439,Consumer,West,Arizona,Technology,Phones,1958.7,3,0.0,771.62
CA-2021-100131,2021-03-17,2021-03-20,Second Class,CU-0590,Corporate,South,Oklahoma,Furniture,Bookcases,1091.56,2,0.1,255.39
CA-2020-100132,2020-09-25,2020-09-25,Same Day,CU-0580,Corporate,West,Arizona,Office Supplies,Paper,89.7,1,0.0,43.86
CA-2021-100133,2021-05-07,2021-05-10,Second Class,CU-0642,Home Office,West,Arizona,Furniture,Tables,521.68,1,0.15,-37.19
CA-2023-100134,2023-11-27,2023-11-30,Second Class,CU-0354,Corporate,West,Montana,Office Supplies,Binders,59.53,1,0.0,34.81
CA-2022-100135,2022-07-08,2022-07-13,Standard Class,CU-0012,Consumer,West,Arizona,Technology,Accessories,187.06,2,0.0,75.21
CA-2020-100136,2020-05-08,2020-05-11,Second Class,CU-0149,Consumer,South,Mississippi,Technology,Copiers,22347.81,5,0.1,5136.38
CA-2023-100137,2023-09-18,2023-09-21,Second Class,CU-0361,Home Office,South,Mississippi,Technology,Copiers,783.99,1,0.0,307.26
CA-2020-100138,2020-05-25,2020-05-30,Standard Class,CU-0101,Consumer,West,Colorado,Technology,Copiers,12692.52,5,0.1,2557.3
CA-2023-100139,2023-04-15,2023-04-20,Standard Class,CU-0399,Consumer,East,North Carolina,Technology,Copiers,3746.4,1,0.0,1164.44
CA-2020-100140,2020-01-27,2020-01-30,Second Class,CU-0110,Corporate,East,Massachusetts,Technology,Copiers,2631.26,4,0.4,-143.85
CA-2023-100141,2023-10-20,2023-10-25,Standard Class,CU-0800,Corporate,East,New York,Furniture,Bookcases,60.7,1,0.4,-14.51
CA-2023-100142,2023-07-13,2023-07-15,First Class,CU-0778,Consumer,South,Mississippi,Office Supplies,Art,53.77,1,0.0,24.71
CA-2020-100143,2020-01-11,2020-01-14,Second Class,CU-0400,Home Office,East,Georgia,Office Supplies,Binders,75.51,3,0.0,46.67
CA-2023-100144,2023-09-04,2023-09-04,Same Day,CU-0574,Consumer,Central,Minnesota,Furniture,Tables,1675.72,2,0.0,-36.28
CA-2023-100145,2023-03-07,2023-03-12,Standard Class,CU-0661,Corporate,East,Georgia,Technology,Copiers,1618.61,1,0.0,510.9
CA-2021-100146,2021-10-24,2021-10-29,Standard Class,CU-0700,Home Office,West,Arizona,Office Supplies,Fasteners,88.72,6,0.1,47.45
CA-2022-100147,2022-07-20,2022-07-25,Standard Class,CU-0021,Consumer,West,Nevada,Office Supplies,Art,40.7,1,0.0,21.05
CA-2021-100148,2021-12-09,2021-12-14,Standard Class,CU-0715,Corporate,Central,Texas,Office Supplies,Appliances,296.53,1,0.3,49.53
CA-2022-100149,2022-09-27,2022-10-02,Standard Class,CU-0200,Consumer,West,California,Office Supplies,Binders,240.73,7,0.0,154.4
CA-2020-100150,2020-10-01,2020-10-06,Standard Class,CU-0391,Consumer,West,Montana,Office Supplies,Storage,186.33,1,0.0,70.91
CA-2022-100151,2022-03-11,2022-03-16,Standard Class,CU-0360,Corporate,East,Ohio,Office Supplies,Labels,8.48,2,0.3,2.72
CA-2020-100152,2020-12-15,2020-12-20,Standard Class,CU-0652,Consumer,West,Nevada,Furniture,Bookcases,308.91,1,0.4,-95.65
CA-2022-100153,2022-12-22,2022-12-27,Standard Class,CU-0124,Corporate,South,Kentucky,Office Supplies,Appliances,465.48,1,0.0,196.54
CA-2021-100154,2021-09-22,2021-09-27,Standard Class,CU-0780,Consumer,South,Louisiana,Technology,Phones,4466.55,3,0.0,1565.63
CA-2020-100155,2020-08-21,2020-08-24,Second Class,CU-0534,Corporate,East,New Jersey,Office Supplies,Paper,73.96,1,0.1,29.78
CA-2023-100156,2023-01-18,2023-01-23,Standard Class,CU-0353,Corporate,Central,Indiana,Furniture,Furnishings,46.16,1,0.0,16.78
CA-2023-100157,2023-09-22,2023-09-27,Standard Class,CU-0261,Corporate,Central,Minnesota,Technology,Accessories,176.88,2,0.0,89.43
CA-2022-100158,2022-12-08,2022-12-13,Standard Class,CU-0598,Consumer,South,Tennessee,Office Supplies,Paper,232.95,3,0.0,124.35
CA-2021-100159,2021-10-22,2021-10-24,First Class,CU-0623,Home Office,West,California,Office Supplies,Binders,455.53,2,0.1,267.02
CA-2020-100160,2020-09-10,2020-09-12,First Class,CU-0020,Corporate,East,North Carolina,Furniture,Furnishings,21.54,2,0.0,7.69
CA-2020-100161,2020-09-04,2020-09-09,Standard Class,CU-0188,Corporate,Central,Wisconsin,Office Supplies,Envelopes,13.28,2,0.1,6.25
CA-2023-100162,2023-05-14,2023-05-19,Standard Class,CU-0113,Corporate,Central,Indiana,Technology,Machines,5020.74,2,0.0,1998.11
CA-2022-100163,2022-04-20,2022-04-25,Standard Class,CU-0399,Home Office,Central,Minnesota,Technology,Accessories,171.02,2,0.1,79.41
CA-2021-100164,2021-12-11,2021-12-14,Second Class,CU-0710,Consumer,South,Mississippi,Office Supplies,Art,46.98,3,0.1,20.59
CA-2020-100165,2020-12-19,2020-12-21,First Class,CU-0602,Consumer,West,Nevada,Office Supplies,Fasteners,12.79,2,0.4,1.7
CA-2023-100166,2023-01-07,2023-01-12,Standard Class,CU-0548,Consumer,East,New York,Furniture,Chairs,601.41,1,0.2,99.04
CA-2020-100167,2020-02-12,2020-02-17,Standard Class,CU-0582,Consumer,West,Utah,Technology,Phones,1463.01,1,0.0,521.4
CA-2023-100168,2023-03-04,2023-03-09,Standard Class,CU-0760,Corporate,West,Washington,Office Supplies,Art,25.08,1,0.3,10.61
CA-2022-100169,2022-12-15,2022-12-17,First Class,CU-0305,Consumer,East,Pennsylvania,Office Supplies,Supplies,311.88,6,0.0,130.82
CA-2022-100170,2022-05-21,2022-05-24,Second Class,CU-0573,Consumer,East,New York,Technology,Machines,3249.76,4,0.1,815.29
CA-2020-100171,2020-11-26,2020-12-01,Standard Class,CU-0057,Corporate,Central,Texas,Furniture,Chairs,2047.92,2,0.0,676.73
CA-2021-100172,2021-02-16,2021-02-21,Standard Class,CU-0032,Consumer,Central,Missouri,Technology,Copiers,8257.64,2,0.0,2612.16
CA-2022-100173,2022-11-26,2022-12-01,Standard Class,CU-0058,Consumer,Central,Missouri,Furniture,Furnishings,884.4,4,0.0,370.37
CA-2023-100174,2023-11-02,2023-11-07,Standard Class,CU-0709,Consumer,East,New Jersey,Office Supplies,Binders,82.39,3,0.2,39.29
CA-2022-100175,2022-03-12,2022-03-17,Standard Class,CU-0554,Corporate,West,Colorado,Office Supplies,Storage,281.39,1,0.3,49.87
CA-2023-100176,2023-10-12,2023-10-17,Standard Class,CU-0688,Home Office,East,North Carolina,Office Supplies,Storage,521.84,2,0.0,237.19
CA-2022-100177,2022-05-06,2022-05-06,Same Day,CU-0260,Corporate,South,Florida,Office Supplies,Appliances,1312.15,7,0.15,363.94
CA-2023-100178,2023-11-27,2023-12-02,Standard Class,CU-0477,Consumer,West,California,Furniture,Tables,1077.09,1,0.2,-63.08
CA-2020-100179,2020-11-18,2020-11-23,Standard Class,CU-0798,Consumer,Central,Texas,Technology,Phones,393.34,1,0.2,73.97
CA-2021-100180,2021-04-24,2021-04-29,Standard Class,CU-0620,Consumer,Central,Michigan,Office Supplies,Art,155.96,3,0.15,70.93
CA-2022-100181,2022-11-27,2022-11-30,Second Class,CU-0759,Consumer,West,Montana,Office Supplies,Storage,34.15,1,0.3,8.74
CA-2022-100182,2022-02-03,2022-02-06,Second Class,CU-0551,Consumer,East,Ohio,Furniture,Bookcases,592.63,3,0.4,-195.67
CA-2020-100183,2020-11-13,2020-11-15,First Class,CU-0547,Corporate,Central,Missouri,Office Supplies,Art,53.94,2,0.3,15.53
CA-2022-100184,2022-12-14,2022-12-19,Standard Class,CU-0275,Corporate,West,Montana,Technology,Machines,835.3,3,0.5,-382.05
CA-2020-100185,2020-11-13,2020-11-13,Same Day,CU-0465,Corporate,Central,Michigan,Office Supplies,Binders,222.88,1,0.15,105.59
CA-2021-100186,2021-01-01,2021-01-06,Standard Class,CU-0622,Consumer,West,Oregon,Office Supplies,Supplies,33.49,5,0.3,6.21
CA-2021-100187,2021-12-23,2021-12-28,Standard Class,CU-0684,Consumer,Central,Iowa,Office Supplies,Art,144.0,3,0.0,80.69
CA-2020-100188,2020-10-09,2020-10-11,First Class,CU-0559,Consumer,Central,Texas,Technology,Phones,1581.3,2,0.0,673.82
CA-2022-100189,2022-09-26,2022-10-01,Standard Class,CU-0579,Corporate,West,Arizona,Office Supplies,Binders,147.04,2,0.0,85.4
CA-2021-100190,2021-04-24,2021-04-27,Second Class,CU-0648,Consumer,Central,Texas,Office Supplies,Labels,11.17,1,0.1,6.74
CA-2022-100191,2022-05-01,2022-05-06,Standard Class,CU-0190,Consumer,East,Virginia,Office Supplies,Envelopes,28.62,2,0.0,17.71
CA-2023-100192,2023-01-01,2023-01-06,Standard Class,CU-0789,Consumer,Central,Texas,Office Supplies,Labels,37.47,1,0.0,20.66
CA-2022-100193,2022-11-23,2022-11-25,First Class,CU-0109,Consumer,East,Virginia,Office Supplies,Appliances,434.99,3,0.3,49.23
